Code,Airport
ECR,El Charco Airport
ECS,Mondell Field
ECV,Cuatro Vientos Airport
EDA,Edna Bay Seaplane Base
EDB,El Debba Airport
EDD,Erldunda Airport
EDE,Northeastern Regional Airport
EDF,Elmendorf Air Force Base
EDI,Edinburgh Airport
EDK,Captain Jack Thomas El Dorado Airport
EDL,Eldoret International Airport
EDM,La Roche-sur-Yon Airport
EDN,Yedinka Airport
EDO,BalŽñkesir K??rfez Airport
EDQ,Erandique Airport
EDR,Pormpuraaw Airport
EDW,Edwards Air Force Base
EED,Needles Airport
EEK,Eek Airport
EEN,Dillant Hopkins Airport
EFD,Ellington Airport
EFG,Efogi Airport
EFK,Northeast Kingdom International Airport
EFL,Kefallinia Airport
EFW,Jefferson Municipal Airport
EGA,Engati Airstrip
EGC,Bergerac-Roumani??re Airport
EGE,Eagle County Regional Airport
EGH,El Gora Airport
EGI,Duke Field
EGL,Negele Airport
EGM,Sege Airport
EGN,Geneina Airport
EGO,Belgorod International Airport
EGP,Maverick County Memorial International Airport
EGS,Egilssta?øir Airport
EGV,Eagle River Union Airport
EGX,Egegik Airport
EHL,El Bolson Airport
EHM,Cape Newenham LRRS Airport
EHT,Rentschler Heliport
EIB,Eisenach-Kindel Airport
EIE,Yeniseysk Airport
EIH,Einasleigh Airport
EIK,Yeysk Airport
EIL,Eielson Air Force Base
EIN,Eindhoven Airport
EIS,Terrance B. Lettsome International Airport
EIY,Ein Yahav Airfield
EJA,Yarigu??es Airport
EJH,Al Wajh Domestic Airport
EJN,Ejin Banner-Taolai Airport
EJT,Enejit Airport
EKA,Murray Field
EKB,Ekibastuz Airport
EKD,Elkedra Airport
EKI,Elkhart Municipal Airport
EKN,Elkins-Randolph Co-Jennings Randolph Field
EKO,Elko Regional Airport
EKS,Shakhtyorsk Airport
EKT,Eskilstuna Airport
EKX,Addington Field
ELA,Eagle Lake Airport
ELB,Las Flores Airport
ELC,Elcho Island Airport
ELD,South Arkansas Regional At Goodwin Field
ELE,EL Real Airport
ELF,El Fasher Airport
ELG,El Golea Airport
ELH,North Eleuthera Airport
ELI,Elim Airport
ELJ,El Recreo Airport
ELK,Elk City Regional Business Airport
ELL,Ellisras Matimba Airport
ELM,Elmira Corning Regional Airport
ELN,Bowers Field
ELO,El Dorado Airport
ELP,El Paso International Airport
ELQ,Gassim Airport
ELR,Elelim Airport
ELS,Ben Schoeman Airport
ELT,El Tor Airport
ELU,Guemar Airport
ELV,Elfin Cove Seaplane Base
ELW,Ellamar Seaplane Base
ELX,Isla de Tigre  Heliport
ELY,Ely Airport Yelland Field
ELZ,"Wellsville Municipal Arpt,Tarantine Field"
EMA,East Midlands Airport
EMD,Emerald Airport
EME,Emden Airport
EMG,Empangeni Airport
EMI,Emirau Airport
EMK,Emmonak Airport
EML,Emmen Air Base
EMM,Kemmerer Municipal Airport
EMN,N??ma Airport
EMO,Emo River Airstrip
EMP,Emporia Municipal Airport
EMS,Embessa Airport
EMT,San Gabriel Valley Airport
EMX,El Maiten Airport
EMY,El Minya Airport
ENA,Kenai Municipal Airport
ENB,Eneabba Airport
ENC,Nancy-Essey Airport
END,Vance Air Force Base
ENE,Ende (H Hasan Aroeboesman) Airport
ENF,Enontekio Airport
ENH,Enshi Airport
ENI,El Nido Airport
ENJ,El Naranjo Airport
ENK,St Angelo Airport
ENL,Centralia Municipal Airport
ENN,Nenana Municipal Airport
ENO,Encarnaci??n Airport
ENS,Twente Airport
ENT,Eniwetok Airport
ENU,Akanu Ibiam International Airport
ENV,Wendover Airport
ENW,Kenosha Regional Airport
ENY,Yan'an Ershilipu Airport
EOH,Enrique Olaya Herrera Airport
EOI,Eday Airport
EOK,Keokuk Municipal Airport
EOR,El Dorado Airport
EOZ,Elorza Airport
EPA,El Palomar Airport
EPG,Browns Airport
EPH,Ephrata Municipal Airport
EPL,??pinal-Mirecourt Airport
EPR,Esperance Airport
EPS,Samana El Portillo Airport
EPT,Eliptamin Airport
EPU,P??rnu Airport
EQS,Brigadier Antonio Parodi Airport
ERA,Erigavo Airport
ERB,Ernabella Airport
ERC,Erzincan Airport
ERD,Berdyansk Airport
ERE,Erave Airport
ERF,Erfurt Airport
ERG,Yerbogachen Airport
ERH,Moulay Ali Cherif Airport
ERI,Erie International Tom Ridge Field
ERL,Erenhot Saiwusu International Airport
ERM,Erechim Airport
ERN,Eirunep?? Airport
ERQ,Elrose Airport
ERR,Errol Airport
ERS,Eros Airport
ERT,Erdenet Airport
ERU,Erume Airport
ERV,Kerrville Municipal Louis Schreiner Field
ERZ,Erzurum International Airport
ESA,Esa'ala Airport
ESB,EsenboŽ?a International Airport
ESC,Delta County Airport
ESD,Orcas Island Airport
ESE,Ensenada International Airport
ESF,Esler Regional Airport
ESG,Dr. Luis Maria Arga?ña International Airport
ESH,Shoreham Airport
ESI,Espinosa Airport
ESK,Eski?ehir Air Base
ESL,Elista Airport
ESM,General Rivadeneira Airport
ESN,Easton Newnam Field
ESO,Ohkay Owingeh Airport
ESP,Birchwood-Pocono Airport
ESP,Stroudsburg Pocono Airport
ESR,Ricardo Garc??a Posada Airport
ESS,Essen Mulheim Airport
EST,Estherville Municipal Airport
ESU,Mogador Airport
ESW,Easton State Airport
ETB,West Bend Municipal Airport
ETD,Etadunna Airport
ETE,Metema Airport
ETH,Eilat Airport
ETL,Svetlaya Airport
ETM,Ramon Airport
ETN,Eastland Municipal Airport
ETR,Santa Rosa International Airport
ETS,Enterprise Municipal Airport
ETZ,Metz-Nancy-Lorraine Airport
EUA,Kaufana Airport
EUC,Eucla Airport
EUE,Eureka Airport
EUF,Weedon Field
EUG,Mahlon Sweet Field
EUM,Neum?¬nster Airport
EUN,Hassan I Airport
EUO,Paratebueno Airport
EUQ,Evelio Javier Airport
EUX,F. D. Roosevelt Airport
EVA,Ben Bruce Memorial Airpark
EVD,Eva Downs Airport
EVE,"Harstad/Narvik Airport, Evenes"
EVG,Sveg Airport
EVH,Evans Head Aerodrome
EVM,Eveleth Virginia Municipal Airport
EVN,Zvartnots International Airport
EVV,Evansville Regional Airport
EVW,Evanston-Uinta County Airport-Burns Field
EVX,??vreux-Fauville (BA 105) Air Base
EWB,New Bedford Regional Airport
EWE,Ewer Airport
EWI,Enarotali Airport
EWK,Newton City-County Airport
EWN,Coastal Carolina Regional Airport
EWO,Ewo Airport
EWR,Newark Liberty International Airport
EWY,RAF Greenham Common
EXI,Excursion Inlet Seaplane Base
EXM,Exmouth Airport
EXT,Exeter International Airport
EYK,Beloyarskiy Airport
EYL,Y??liman?? Airport
EYP,El Yopal Airport
EYR,Yerington Municipal Airport
EYS,Eliye Springs Airport
EYW,Key West International Airport
EZE,Ministro Pistarini International Airport
EZS,ElazŽñŽ? Airport
EZV,Berezovo Airport
FAA,Faranah Airport
FAB,Farnborough Airport
FAC,Faaite Airport
FAE,Vagar Airport
FAF,Felker Army Air Field
FAG,Fagurh??lsm?«ri Airport
FAH,Farah Airport
FAI,Fairbanks International Airport
FAJ,Diego Jimenez Torres Airport
FAK,False Island Seaplane Base
FAL,Falcon State Airport
FAM,Farmington Regional Airport
FAN,Lista Airport
FAO,Faro Airport
FAQ,Frieda River Airport
FAR,Hector International Airport
FAS,F?­skr?§?øsfj??r?øur Airport
FAT,Fresno Yosemite International Airport
FAU,Fahud Airport
FAV,Fakarava Airport
FAY,Fayetteville Regional Grannis Field
FAZ,Fasa Airport
FBA,Fonte Boa Airport
FBD,Fayzabad Airport
FBE,Francisco Beltr?œo Airport
FBG,Simmons Army Air Field
FBK,Ladd AAF Airfield
FBL,Faribault Municipal Airport-Liz Wall Strohfus Field
FBM,Lubumbashi International Airport
FBR,Fort Bridger Airport
FBS,Friday Harbor Seaplane Base
FBU,"Oslo, Fornebu Airport"
FBY,Fairbury Municipal Airport
FCA,Glacier Park International Airport
FCB,Ficksburg Sentraoes Airport
FCH,Fresno Chandler Executive Airport
FCM,Flying Cloud Airport
FCN,Nordholz Naval Airbase
FCO,Leonardo da Vinciƒ??Fiumicino Airport
FCS,Butts AAF (Fort Carson) Air Field
FCY,Forrest City Municipal Airport
FDA,Fundaci??n Airport
FDE,F??rde Airport
FDF,Martinique Aim?? C??saire International Airport
FDH,Friedrichshafen Airport
FDK,Frederick Municipal Airport
FDO,San Fernando Airport
FDR,Frederick Regional Airport
FDU,Bandundu Airport
FDY,Findlay Airport
FEA,Fetlar Airport
FEB,Sanfebagar Airport
FEC,Jo?œo Durval Carneiro Airport
FEG,Fergana International Airport
FEJ,Feij?? Airport
FEK,Ferkessedougou Airport
FEL,F?¬rstenfeldbruck Air Base
FEN,Fernando de Noronha Airport
FEP,Albertus Airport
FET,Fremont Municipal Airport
FEZ,Sa??ss Airport
FFA,First Flight Airport
FFD,RAF Fairford
FFL,Fairfield Municipal Airport
FFM,Fergus Falls Municipal Airport - Einar Mickelson Field
FFO,Wright-Patterson Air Force Base
FFT,Capital City Airport
FFU,Futaleuf?§ Airport
FGD,Fderik Airport
FGI,Fagali'i Airport
FGU,Fangatau Airport
FHU,Sierra Vista Municipal Libby Army Air Field
FHZ,Fakahina Airport
FID,Elizabeth Field
FIE,Fair Isle Airport
FIG,Fria Airport
FIH,Ndjili International Airport
FIK,Finke Airport
FIL,Fillmore Municipal Airport
FIN,Finschhafen Airport
FIZ,Fitzroy Crossing Airport
FJR,Fujairah International Airport
FKB,Karlsruhe Baden-Baden Airport
FKI,Bangoka International Airport
FKJ,Fukui Airport
FKL,Venango Regional Airport
FKN,Franklin Municipal-John Beverly Rose Airport
FKQ,Fakfak Airport
FKS,Fukushima Airport
FLA,Gustavo Artunduaga Paredes Airport
FLB,Cangapara Airport
FLD,Fond du Lac County Airport
FLE,Fort Lee Army Airfield
FLF,Flensburg-Sch??ferhaus Airport
FLG,Flagstaff Pulliam Airport
FLH,Flotta Isle Airport
FLI,Holt Airport
FLL,Fort Lauderdale Hollywood International Airport
FLM,Filadelfia Airport
FLN,Herc??lio Luz International Airport
FLO,Florence Regional Airport
FLP,Marion County Regional Airport
FLR,Peretola Airport
FLS,Flinders Island Airport
FLT,Flat Airport
FLU,Flushing Airport
FLV,Sherman Army Air Field
FLW,Flores Airport
FLX,Fallon Municipal Airport
FLY,Finley Airport
FLZ,Dr Ferdinand Lumban Tobing Airport
FMA,Formosa Airport
FMC,Five Mile Airport
FME,Tipton Airport
FMG,Flamingo Airport
FMH,Cape Cod Coast Guard Air Station
FMI,Kalemie Airport
FMM,Memmingen Allgau Airport
FMN,Four Corners Regional Airport
FMO,M?¬nster Osnabr?¬ck Airport
FMS,Fort Madison Municipal Airport
FMU,Florence Municipal Airport
FMY,Page Field
FNA,Lungi International Airport
FNB,Neubrandenburg Airport
FNC,Madeira Airport
FNE,Fane Airport
FNG,Fada N'gourma Airport
FNH,Fincha Airport
FNI,N??mes-Arles-Camargue Airport
FNJ,Pyongyang Sunan International Airport
FNL,Northern Colorado Regional Airport
FNR,Funter Bay Seaplane Base
FNT,Bishop International Airport
FNU,Oristano-Fenosu Airport
FOA,Foula Airfield
FOB,Fort Bragg Airport
FOC,Fuzhou Changle International Airport
FOD,Fort Dodge Regional Airport
FOE,Topeka Regional Airport - Forbes Field
FOG,"Foggia ""Gino Lisa"" Airport"
FOK,Francis S Gabreski Airport
FOM,Foumban Nkounja Airport
FON,Arenal Airport
FOO,Kornasoren Airfield
FOR,Pinto Martins International Airport
FOS,Forrest Airport
FOT,Forster (Wallis Is) Airport
FOU,Fougamou Airport
FOY,Foya Airport
FPO,Grand Bahama International Airport
FPR,St Lucie County International Airport
FPY,Perry-Foley Airport
FRA,Frankfurt am Main Airport
FRB,Forbes Airport
FRC,Tenente Lund Pressoto Airport
FRD,Friday Harbor Airport
FRE,Fera/Maringe Airport
FRG,Republic Airport
FRH,French Lick Municipal Airport
FRI,Marshall Army Air Field
FRJ,Fr??jus Airport
FRK,Fr??gate Island Airport
FRL,Forl?ª Airport
FRM,Fairmont Municipal Airport
FRN,Bryant Army Heliport
FRO,Flor?? Airport
FRQ,Feramin Airport
FRR,Front Royal Warren County Airport
FRS,Mundo Maya International Airport
FRT,El Avellano Airport
FRU,Manas International Airport
FRW,Francistown Airport
FRY,Eastern Slopes Regional Airport
FRZ,Fritzlar Airport
FSC,Figari Sud-Corse Airport
FSD,Joe Foss Field Airport
FSI,Henry Post Army Air Field (Fort Sill)
FSK,Fort Scott Municipal Airport
FSL,Fossil Downs Airport
FSM,Fort Smith Regional Airport
FSN,Haley Army Airfield
FSP,St Pierre Airport
FSS,RAF Kinloss
FST,Fort Stockton Pecos County Airport
FSU,Fort Sumner Municipal Airport
FSZ,Mt. Fuji Shizuoka Airport
FTA,Futuna Airport
FTE,El Calafate Airport
FTI,Fitiuta Airport
FTK,Godman Army Air Field
FTU,T??lanaro Airport
FTW,Fort Worth Meacham International Airport
FTX,Owando Airport
FTY,Fulton County Airport Brown Field
FUB,Fulleborn Airport
FUE,Fuerteventura Airport
FUG,Fuyang Xiguan Airport
FUJ,Fukue Airport
FUK,Fukuoka Airport
FUL,Fullerton Municipal Airport
FUM,Fuma Airport
FUN,Funafuti International Airport
FUO,Foshan Shadi Airport
FUT,Pointe Vele Airport
FVL,Flora Valley Airport
FVM,Fuvahmulah Airport
FVR,Oombulgurri Airport
FWA,Fort Wayne International Airport
FWH,NAS Fort Worth JRB/Carswell Field
FWL,Farewell Airport
FXE,Fort Lauderdale Executive Airport
FXO,Cuamba Airport
FXY,Forest City Municipal Airport
FYJ,Dongji Aiport
FYM,Fayetteville Municipal Airport
FYN,Fuyun Koktokay Airport
FYT,Faya Largeau Airport
FYU,Fort Yukon Airport
FYV,Drake Field
FZO,Bristol Filton Airport
GAB,Gabbs Airport
GAC,Celaque Airport
GAD,Northeast Alabama Regional Airport
GAE,Gab??s Matmata International Airport
GAF,Gafsa Ksar International Airport
GAG,Gage Airport
GAH,Gayndah Airport
GAI,Montgomery County Airpark
GAJ,Yamagata Airport
GAL,Edward G. Pitka Sr Airport
GAM,Gambell Airport
GAN,Gan International Airport
GAO,Mariana Grajales Airport
GAP,Gusap Airport
GAQ,Gao Airport
GAR,Garaina Airport
GAS,Garissa Airport
GAT,Gap - Tallard Airfield
GAU,Lokpriya Gopinath Bordoloi International Airport
GAV,Gag Island Airport
GAW,Gangaw Airport
GAX,Gamba Airport
GAY,Gaya Airport
GAZ,Guasopa Airport
GBA,Cotswold Airport
GBB,Gabala International Airport
GBC,Gasuke Airport
GBD,Great Bend Municipal Airport
GBE,Sir Seretse Khama International Airport
GBF,Negarbo(Negabo) Airport
GBG,Galesburg Municipal Airport
GBH,Galbraith Lake Airport
GBI,Auxiliary Airfield
GBJ,Les Bases Airport
GBK,Gbangbatok Airport
GBL,South Goulburn Is Airport
GBM,Garbaharey Airport
GBP,Gamboola Airport
GBR,Walter J. Koladza Airport
GBT,Gorgan Airport
GBU,Khashm El Girba Airport
GBV,Gibb River Airport
GBW,Ginbata Airport
GBZ,Great Barrier Aerodrome
GCA,Guacamayas Airport
GCC,Gillette Campbell County Airport
GCD,Grand Coulee Dam Airport
GCH,Gachsaran Airport
GCI,Guernsey Airport
GCJ,Grand Central Airport
GCK,Garden City Regional Airport
GCM,Owen Roberts International Airport
GCN,Grand Canyon National Park Airport
GCT,Grand Canyon Bar Ten Airstrip
GCV,Gravatai Airport
GCW,Grand Canyon West Airport
GCY,Greeneville-Greene County Municipal Airport
GDA,Gounda Airport
GDC,Donaldson Field Airport
GDD,Gordon Downs Airport
GDE,Gode Airport
GDG,Magdagachi Airport
GDH,Golden Horn Lodge Seaplane Base
GDI,Gordil Airport
GDJ,Gandajika Airport
GDL,Don Miguel Hidalgo Y Costilla International Airport
GDM,Gardner Municipal Airport
GDN,Gda?sk Lech Wa?Ž?sa Airport
GDO,Guasdalito Airport
GDP,Guadalupe Airport
GDQ,Gonder Airport
GDT,JAGS McCartney International Airport
GDV,Dawson Community Airport
GDW,Gladwin Zettel Memorial Airport
GDX,Sokol Airport
GDZ,Gelendzhik Airport
GEA,Noum??a Magenta Airport
GEB,Gebe Airport
GEC,Lefkoniko Airport
GED,Sussex County Airport
GEE,Georgetown (Tas) Airport
GEF,Geva Airport
GEG,Spokane International Airport
GEL,Santo ??ngelo Airport
GEM,President Obiang Nguema International Airport
GEO,Cheddi Jagan International Airport
GER,Rafael Cabrera Airport
GES,General Santos International Airport
GET,Geraldton Airport
GEV,G??llivare Airport
GEW,Gewoia Airport
GEX,Geelong Airport
GEY,South Big Horn County Airport
GFA,Malmstrom Air Force Base
GFD,Pope Field
GFE,Grenfell Airport
GFF,Griffith Airport
GFK,Grand Forks International Airport
GFL,Floyd Bennett Memorial Airport
GFN,Grafton Airport
GFO,Bartica A Airport
GFR,Granville Airport
GFY,Grootfontein Airport
GGC,Lumbala Airport
GGC,Lumbala Airport
GGD,Gregory Downs Airport
GGE,Georgetown County Airport
GGG,East Texas Regional Airport
GGL,Gilgal Airport
GGM,Kakamega Airport
GGN,Gagnoa Airport
GGO,Guiglo Airport
GGR,Garowe Airport
GGS,Gobernador Gregores Airport
GGT,Exuma International Airport
GGW,Wokal Field Glasgow International Airport
GHA,Noum??rat - Moufdi Zakaria Airport
GHB,Governor's Harbour Airport
GHC,Great Harbour Cay Airport
GHE,Garachin?? Airport
GHF,Giebelstadt Airport
GHK,Gush Katif Airport
GHM,Centerville Municipal Airport
GHN,Guanghan Airport
GHT,Ghat Airport
GHU,Gualeguaychu Airport
GIB,Gibraltar Airport
GIC,Boigu Airport
GID,Gitega Airport
GIF,Winter Haven Regional Airport - Gilbert Field
GIG,Rio Gale?œo ƒ?? Tom Jobim International Airport
GII,Siguiri Airport
GIL,Gilgit Airport
GIR,Santiago Vila Airport
GIS,Gisborne Airport
GIT,Mchauru Airport
GIU,Sigiriya Air Force Base
GIY,Giyani Airport
GIZ,Jizan Regional Airport
GJA,La Laguna Airport
GJL,Jijel Ferhat Abbas Airport
GJM,Guajar?­-Mirim Airport
GJR,Gj??gur Airport
GJT,Grand Junction Regional Airport
GKA,Goroka Airport
GKD,Imroz Airport
GKE,Geilenkirchen Air Base
GKH,Palungtar Airport
GKK,Kooddoo Airport
GKL,Great Keppel Is Airport
GKN,Gulkana Airport
GKT,Gatlinburg-Pigeon Forge Airport
GLA,Glasgow International Airport
GLB,San Carlos Apache Airport
GLC,Geladi Airport
GLD,Renner Field-Goodland Municipal Airport
GLE,Gainesville Municipal Airport
GLF,Golfito Airport
GLG,Glengyle Airport
GLH,Mid Delta Regional Airport
GLI,Glen Innes Airport
GLK,Galcaio Airport
GLL,Gol Airport
GLM,Glenormiston Airport
GLN,Goulimime Airport
GLO,Gloucestershire Airport
GLP,Gulgubip Airport
GLR,Gaylord Regional Airport
GLS,Scholes International At Galveston Airport
GLT,Gladstone Airport
GLU,Gelephu Airport
GLV,Golovin Airport
GLW,Glasgow Municipal Airport
GLX,Gamarmalamo Airport
GLZ,Gilze Rijen Air Base
GMA,Gemena Airport
GMB,Gambella Airport
GMD,Ben Slimane Airport
GME,Gomel Airport
GMI,Gasmata Island Airport
GML,Gostomel Airport
GMM,Gamboma Airport
GMN,Greymouth Airport
GMO,Gombe Lawanti International Airport
GMP,Gimpo International Airport
GMQ,Golog Maqin Airport
GMR,Totegegie Airport
GMS,Ant??nio Guerreiro Airport
GMT,Granite Mountain Air Station
GMU,Greenville Downtown Airport
GMV,Monument Valley Airport
GMZ,La Gomera Airport
GNA,Hrodna Airport
GNB,Grenoble-Is??re Airport
GND,Point Salines International Airport
GNF,Gansner Field
GNG,Gooding Municipal Airport
GNI,Lyudao Airport
GNM,Guanambi Airport
GNN,Ghinnir Airport
GNR,Dr. Arturo H. Illia Airport
GNS,Binaka Airport
GNT,Grants-Milan Municipal Airport
GNU,Goodnews Airport
GNV,Gainesville Regional Airport
GNY,?anlŽñurfa GAP Airport
GNZ,Ghanzi Airport
GOA,Genoa Cristoforo Colombo Airport
GOB,Robe Airport
GOC,Gora Airstrip
GOE,Gonaili Airport
GOG,Gobabis Airport
GOH,Godthaab / Nuuk Airport
GOI,Dabolim Airport
GOJ,Nizhny Novgorod Strigino International Airport
GOK,Guthrie-Edmond Regional Airport
GOL,Gold Beach Municipal Airport
GOM,Goma International Airport
GON,Groton New London Airport
GOO,Goondiwindi Airport
GOP,Gorakhpur Airport
GOQ,Golmud Airport
GOR,Gore Airport
GOT,Gothenburg-Landvetter Airport
GOU,Garoua International Airport
GOV,Gove Airport
GOZ,Gorna Oryahovitsa Airport
GPA,Araxos Airport
GPB,Tancredo Thomas de Faria Airport
GPD,Mount Gordon Airport
GPI,Juan Casiano Airport
GPL,Guapiles Airport
GPN,Garden Point Airport
GPO,General Pico Airport
GPS,Seymour Airport
GPT,Gulfport Biloxi International Airport
GPZ,Grand Rapids Itasca Co-Gordon Newstrom field
GQQ,Galion Municipal Airport
GRB,Austin Straubel International Airport
GRC,Grand Cess Airport
GRD,Greenwood County Airport
GRE,Greenville Airport
GRF,Gray Army Air Field
GRG,Gardez Airport
GRH,Garuahi Airport
GRI,Central Nebraska Regional Airport
GRJ,George Airport
GRK,Robert Gray  Army Air Field Airport
GRL,Garasa Airport
GRM,Grand Marais Cook County Airport
GRN,Gordon Municipal Airport
GRO,Girona Airport
GRP,Gurupi Airport
GRQ,Eelde Airport
GRR,Gerald R. Ford International Airport
GRS,Grosseto Air Base
GRT,Gujrat Airport
GRU,Guarulhos - Governador Andr?? Franco Montoro International Airport
GRV,Grozny North Airport
GRW,Graciosa Airport
GRX,Federico Garcia Lorca Airport
GRY,Gr??msey Airport
GRZ,Graz Airport
GSA,Long Pasia Airport
GSB,Seymour Johnson Air Force Base
GSC,Gascoyne Junction Airport
GSE,Gothenburg City Airport
GSH,Goshen Municipal Airport
GSI,Grand-Santi Airport
GSJ,San Jos?? Airport
GSL,Taltheilei Narrows Airport
GSM,Qeshm International Airport
GSN,Mount Gunson Airport
GSO,Piedmont Triad International Airport
GSP,Greenville Spartanburg International Airport
GSQ,Shark El Oweinat International Airport
GSR,Gardo Airport
GSS,Sabi Sabi Airport
GST,Gustavus Airport
GSU,Azaza Airport
GSW,Greater Southwest International Airport-Amon Carter Field
GSY,Binbrook Airfield
GTA,Gatokae Airport
GTB,Genting Airport
GTE,Groote Eylandt Airport
GTF,Great Falls International Airport
GTG,Grantsburg Municipal Airport
GTI,Flugplatz G?¬ttin / R?¬gen
GTK,Sungei Tekai Airport
GTN,Glentanner Airport
GTO,Jalaluddin Airport
GTP,Grants Pass Airport
GTR,Golden Triangle Regional Airport
GTS,Granite Downs Airport
GTT,Georgetown Airport
GTW,Hole­ov Airport
GTY,Gettysburg Regional Airport
GTZ,Kirawira B Aerodrome
GUA,La Aurora Airport
GUB,Guerrero Negro Airport
GUC,Gunnison Crested Butte Regional Airport
GUD,Goundam Airport
GUE,Guriaso (Keraso) Airport
GUF,Jack Edwards Airport
GUG,Guari Airport
GUH,Gunnedah Airport
GUI,Guiria Airport
GUJ,Guaratinguet?­ Airport
GUL,Goulburn Airport
GUM,Antonio B. Won Pat International Airport
GUO,Jicalapa Airport
GUP,Gallup Municipal Airport
GUQ,Guanare Airport
GUR,Gurney Airport
GUS,Grissom Air Reserve Base
GUT,G?¬tersloh Air Base
GUU,Grundarfj??r?øur Airport
GUV,Mougulu Airport
GUW,Atyrau Airport
GUX,Guna Airport
GUY,Guymon Municipal Airport
GUZ,Guarapari Airport
GVA,Geneva Cointrin International Airport
GVE,Gordonsville Municipal Airport
GVI,Green River Airport
GVL,Lee Gilmer Memorial Airport
GVN,Maygatka Airport.
GVP,Greenvale Airport
GVR,Coronel Altino Machado de Oliveira Airport
GVT,Majors Airport
GVW,Richards-Gebaur Air Force Base
GVX,G??vle Sandviken Airport
GWA,Gwa Airport
GWD,Gwadar International Airport
GWE,Thornhill Air Base
GWL,Gwalior Airport
GWN,Gnarowein Airport
GWO,Greenwoodƒ??Leflore Airport
GWS,Glenwood Springs Municipal Airport
GWT,Westerland Sylt Airport
GWV,Glendale Fokker Field
GWW,Gatow Airport
GWY,Galway Airport
GXF,Sayun International Airport
GXG,Negage Airport
GXH,Gannan Xiahe Airport
GXQ,Teniente Vidal Airport
GXX,Yagoua Airport
GXY,Greeleyƒ??Weld County Airport
GYA,Capit?­n de Av. Emilio Beltr?­n Airport
GYD,Heydar Aliyev International Airport
GYE,Jos?? Joaqu??n de Olmedo International Airport
GYG,Magan Airport
GYI,Gisenyi Airport
GYL,Argyle Airport
GYM,General Jos?? Mar??a Y?­?ñez International Airport
GYN,Santa Genoveva Airport
GYP,Gympie Airport
GYR,Phoenix Goodyear Airport
GYS,Guangyuan Airport
GYU,Guyuan Liupanshan Airport
GYY,Gary Chicago International Airport
GZA,Yasser Arafat International Airport
GZI,Ghazni Airport
GZM,Xewkija Heliport
GZO,Nusatupe Airport
GZP,Gazipa?a Airport
GZT,Gaziantep International Airport
GZW,Qazvin Airport
HAA,Hasvik Airport
HAB,Marion County Rankin Fite Airport
HAC,Hachijojima Airport
HAD,Halmstad Airport
HAE,Lava Falls Heliport
HAF,Half Moon Bay Airport
HAH,Prince Said Ibrahim International Airport
HAI,Three Rivers Municipal Dr Haines Airport
HAJ,Hannover Airport
HAK,Haikou Meilan International Airport
HAL,Halali Airport
HAM,Hamburg Airport
HAN,Noi Bai International Airport
HAO,Butler Co Regional Airport - Hogan Field
HAQ,Hanimaadhoo Airport
HAR,Capital City Airport
HAS,Ha'il Airport
HAT,Heathlands Airport
HAU,Haugesund Airport
HAV,Jos?? Mart?? International Airport
HAW,Haverfordwest Airport
HAX,Hatbox Field
HAY,Haycock Airport
HAZ,Hatzfeldhaven Airport
HBA,Hobart International Airport
HBB,Industrial Airpark
HBD,Habi Airport
HBE,Borg El Arab International Airport
HBG,Hattiesburg Bobby L Chain Municipal Airport
HBH,Entrance Island Seaplane Base
HBK,Holbrook Municipal Airport
HBR,Hobart Regional Airport
HBT,Hambantota Seaplane Base
HBU,Bulgan Sum Airport
HBX,Hubli Airport
HCA,Big Spring Mc Mahon-Wrinkle Airport
HCC,Columbia County Airport
HCJ,Hechi Jinchengjiang Airport
HCM,Eil Airport
HCN,Hengchun Airport
HCQ,Halls Creek Airport
HCR,Holy Cross Airport
HCW,Cheraw Municipal Airport/Lynch Bellinger Field
HDB,Heidelberg Army Helicopter Base
HDD,Hyderabad Airport
HDE,Brewster Field
HDF,Heringsdorf Airport
HDG,Handan Airport
HDH,Dillingham Airfield
HDM,Hamadan Airport
HDN,Yampa Valley Airport
HDR,Havadarya Airport
HDS,Hoedspruit Air Force Base Airport
HDY,Hat Yai International Airport
HEA,Herat Airport
HEB,Hinthada Airport
HED,Herendeen Bay Airport
HEE,Thompson-Robbins Airport
HEG,Heglig Airport
HEH,Heho Airport
HEI,Heide-B?¬sum Airport
HEK,Heihe Airport
HEL,Helsinki Vantaa Airport
HEM,Helsinki Malmi Airport
HEO,Haelogo Airport
HER,Heraklion International Nikos Kazantzakis Airport
HES,Hermiston Municipal Airport
HET,Baita International Airport
HEW,Athen Helenikon Airport
HEX,Herrera Airport
HEY,Hanchey Army (Fort Rucker) Heliport
HEZ,Hardy-Anders Field / Natchez-Adams County Airport
HFA,Haifa International Airport
HFD,Hartford Brainard Airport
HFE,Hefei Luogang International Airport
HFF,Mackall Army Air Field
HFN,Hornafj??r?øur Airport
HFS,Hagfors Airport
HFT,Hammerfest Airport
HGA,Egal International Airport
HGD,Hughenden Airport
HGE,Higuerote Airport
HGH,Hangzhou Xiaoshan International Airport
HGI,"Paloich Airport, Heliport"
HGL,Helgoland-D?¬ne Airport
HGN,Mae Hong Son Airport
HGO,Korhogo Airport
HGR,Hagerstown Regional Richard A Henson Field
HGS,Hastings Airport
HGT,Tusi AHP (Hunter Liggett) Heliport
HGU,Mount Hagen Kagamuga Airport
HGZ,Hog River Airport
